,current_player,peak_today,game
2,"994,486","1,040,051", Counter-Strike: Global Offensive
3,"612,002","678,801", Dota 2
4,"244,275","435,473", PLAYERUNKNOWN'S BATTLEGROUNDS
5,"166,532","166,532", Destiny 2
6,"120,869","257,662", Among Us
7,"114,512","137,120", Grand Theft Auto V
8,"102,085","117,181", Apex Legends
9,"101,274","103,955", Source SDK Base 2013 Multiplayer
10,"95,715","122,247", Rocket League
11,"82,491","82,835", Rust
12,"80,467","81,405", Team Fortress 2
13,"78,889","83,258", ARK: Survival Evolved
14,"78,557","95,794", Tom Clancy's Rainbow Six Siege
15,"61,332","65,814", Warframe
16,"53,096","53,404", Sid Meier's Civilization VI
17,"50,619","50,619", Football Manager 2021
18,"46,672","48,791", Dead by Daylight
19,"46,079","46,079", Football Manager 2020
20,"46,023","48,549", War Thunder
21,"45,824","66,512", Wallpaper Engine
22,"42,597","42,749", Terraria
23,"38,906","38,906", Garry's Mod
24,"38,823","38,844", Hearts of Iron IV
25,"37,600","37,600", World of Tanks Blitz
26,"34,411","51,553", Phasmophobia
27,"34,172","34,172", Euro Truck Simulator 2
28,"33,989","33,989", Total War: WARHAMMER II
29,"33,411","33,411", Farming Simulator 19
30,"31,475","33,148", Spacewar
31,"30,980","45,925", PAYDAY 2
32,"30,873","44,668", Monster Hunter: World
33,"29,915","29,915", DayZ
34,"29,254","29,668", 7 Days to Die
35,"27,356","27,356", Sid Meier's Civilization V
36,"25,289","28,712", Brawlhalla
37,"24,960","25,154", Age of Empires II: Definitive Edition
38,"24,180","27,034", The Witcher 3: Wild Hunt
39,"23,497","23,608", Unturned
40,"22,769","22,812", Europa Universalis IV
41,"22,503","22,503", Path of Exile
42,"22,181","22,181", Fallout 4
43,"22,101","22,101", The Elder Scrolls Online
44,"21,117","26,958", Left 4 Dead 2
45,"20,741","22,911", Arma 3
46,"20,169","20,169", The Elder Scrolls V: Skyrim Special Edition
47,"19,909","26,982", Don't Starve Together
48,"19,853","21,209", EA SPORTS™ FIFA 21
49,"19,373","19,387", Hades
50,"18,953","18,953", RimWorld
51,"18,602","18,969", Sea of Thieves
52,"18,377","21,082", Cities: Skylines
53,"18,343","18,472", Counter-Strike
54,"18,331","18,456", Factorio
55,"17,563","17,573", Crusader Kings III
56,"17,392","17,587", Stellaris
57,"17,225","17,483", Stardew Valley
58,"17,061","20,490", Red Dead Redemption 2
59,"17,037","23,832", Halo: The Master Chief Collection
60,"16,739","18,782", Fall Guys: Ultimate Knockout
61,"16,301","20,387", SMITE
62,"15,459","15,705", Black Desert Online
63,"15,218","21,107", Eternal Return: Black Survival
64,"15,095","15,295", Elite Dangerous
65,"15,055","15,158", Paladins
66,"14,273","15,923", FINAL FANTASY XIV Online
67,"14,068","14,986", Mount & Blade II: Bannerlord
68,"13,854","15,182", DARK SOULS™ III
69,"13,638","18,874", VRChat
70,"13,605","13,605", Divinity: Original Sin 2
71,"13,355","22,777", NBA 2K20
72,"12,855","12,855", tModLoader
73,"11,645","11,645", Conan Exiles
74,"11,460","11,550", eFootball PES 2021 SEASON UPDATE
75,"11,410","11,868", Raft
76,"11,286","11,286", No Man's Sky
77,"10,748","11,287", Albion Online
78,"10,420","12,381", Assassin's Creed Odyssey
79,"10,406","11,065", theHunter: Call of the Wild™
80,"10,065","10,965", Soundpad
81,"9,940","9,961", Satisfactory
82,"9,544","9,544", The Elder Scrolls V: Skyrim
83,"9,346","9,346", F1 2020
84,"9,288","10,093", Company of Heroes 2
85,"9,224","9,294", Age of Empires II (2013)
86,"9,167","9,709", The Forest
87,"9,162","9,614", Yu-Gi-Oh! Duel Links
88,"9,096","9,096", Total War: ROME II - Emperor Edition
89,"9,046","12,589", Tabletop Simulator
90,"8,891","9,095", Conqueror's Blade
91,"8,709","8,709", Space Engineers
92,"8,602","16,823", Human: Fall Flat
93,"8,543","8,745", Football Manager 2019
94,"8,352","8,352", STAR WARS™: The Old Republic™
95,"8,332","8,332", American Truck Simulator
96,"8,281","13,674", World of Warships
97,"7,890","7,943", Geometry Dash
98,"7,885","8,379", eFootball PES 2020
99,"7,790","8,760", Oxygen Not Included
100,"7,675","9,201", Hunt: Showdown
101,"7,606","7,894", The Binding of Isaac: Rebirth
